JAHR;BFS;GEMEINDE;EINWOHNER
2012;173;Hittnau;3506
2012;59;Hochfelden;2021
2012;222;Hofstetten;481
2012;153;Hombrechtikon;8100
2012;133;Horgen;19252
2012;32;Humlikon;484
2012;60;Höri;2611
2012;61;Hüntwangen;1002
2012;134;Hütten;897
2012;87;Hüttikon;668
2012;174;Illnau-Effretikon;16099
2012;6;Kappel a.A.;922
2012;135;Kilchberg;7641
2012;33;Kleinandelfingen;2008
2012;62;Kloten;18373
2012;7;Knonau;1979
2012;175;Kyburg;406
2012;154;Küsnacht;13485
2012;136;Langnau a.A.;7223
2012;34;Laufen-Uhwiesen;1560
2012;176;Lindau;5207
2012;63;Lufingen;1836
2012;35;Marthalen;1964
2012;8;Maschwanden;641
2012;195;Maur;9610
2012;156;Meilen;12777
2012;9;Mettmenstetten;4414
2012;155;Männedorf;10462
2012;196;Mönchaltorf;3439
2012;88;Neerach;3019
2012;223;Neftenbach;5419
2012;89;Niederglatt;4568
2012;90;Niederhasli;8710
2012;91;Niederweningen;2758
2012;64;Nürensdorf;5261
2012;65;Oberembrach;1025
2012;245;Oberengstringen;6397
2012;92;Oberglatt;6060
2012;137;Oberrieden;4965
2012;36;Oberstammheim;1125
2012;93;Oberweningen;1749
2012;10;Obfelden;4828
2012;157;Oetwil a.S.;4546
2012;246;Oetwil a.d.L.;2326
2012;66;Opfikon;16045
2012;37;Ossingen;1348
2012;94;Otelfingen;2751
2012;11;Ottenbach;2479
2012;224;Pfungen;3382
2012;177;Pfäffikon;11012
2012;67;Rafz;4085
2012;95;Regensberg;490
2012;96;Regensdorf;16951
2012;38;Rheinau;1346
2012;138;Richterswil;12825
2012;225;Rickenbach;2549
2012;12;Rifferswil;957
2012;68;Rorbas;2503
2012;178;Russikon;4132
2012;97;Rümlang;7006
2012;139;Rüschlikon;5418
2012;118;Rüti;11928
2012;226;Schlatt;738
2012;98;Schleinikon;718
2012;247;Schlieren;17170
2012;197;Schwerzenbach;4737
2012;99;Schöfflisdorf;1373
2012;140;Schönenberg;1894
2012;119;Seegräben;1307
2012;227;Seuzach;7128
2012;100;Stadel;2010
2012;13;Stallikon;3297
2012;101;Steinmaur;3276
2012;179;Sternenberg;351
2012;158;Stäfa;13866
2012;39;Thalheim a.d.Th.;898
2012;141;Thalwil;17309
2012;41;Truttikon;465
2012;40;Trüllikon;982
2012;228;Turbenthal;4300
2012;159;Uetikon a.S.;5932
2012;248;Uitikon;3944
2012;249;Unterengstringen;3393
2012;42;Unterstammheim;861
2012;250;Urdorf;9456
2012;198;Uster;32710
2012;43;Volken;311
2012;199;Volketswil;17743
2012;120;Wald;9321
2012;69;Wallisellen;14149
2012;44;Waltalingen;675
2012;200;Wangen-Brüttisellen;7573
2012;70;Wasterkingen;547
2012;102;Weiach;1076
2012;251;Weiningen;4281
2012;180;Weisslingen;3173
2012;14;Wettswil a.A.;4574
2012;121;Wetzikon;23254
2012;229;Wiesendangen;4927
2012;71;Wil;1298
2012;181;Wila;1942
2012;182;Wildberg;1002
2012;72;Winkel;4084
2012;230;Winterthur;104366
2012;142;Wädenswil;20907
2012;231;Zell;5485
2012;161;Zollikon;12152
2012;160;Zumikon;5162
2012;261;Zürich;379915
2013;21;Adlikon;573
2013;131;Adliswil;18216
2013;241;Aesch;1183
2013;1;Aeugst a.A.;1970
2013;2;Affoltern a.A.;11342
2013;211;Altikon;635
2013;30;Andelfingen;2100
2013;51;Bachenbülach;4038
2013;81;Bachs;607
2013;52;Bassersdorf;11318
2013;171;Bauma;4297
2013;22;Benken;828
2013;23;Berg a.I.;576
2013;212;Bertschikon;1084
2013;242;Birmensdorf;6056
2013;3;Bonstetten;5254
2013;82;Boppelsen;1304
2013;213;Brütten;2008
2013;112;Bubikon;6936
2013;24;Buch a.I.;919
2013;83;Buchs;6174
2013;111;Bäretswil;4900
2013;53;Bülach;18348
2013;25;Dachsen;1979
2013;86;Dielsdorf;5871
2013;243;Dietikon;25326
2013;54;Dietlikon;7219
2013;216;Dinhard;1497
2013;26;Dorf;620
2013;214;Dägerlen;977
2013;84;Dällikon;3746
2013;85;Dänikon;1946
2013;215;Dättlikon;756
2013;191;Dübendorf;25719
2013;113;Dürnten;7157
2013;192;Egg;8273
2013;55;Eglisau;4934
2013;217;Elgg;4114
2013;218;Ellikon a.d.Th.;903
2013;219;Elsau;3420
2013;56;Embrach;8926
2013;151;Erlenbach;5336
2013;172;Fehraltorf;6262
2013;27;Feuerthalen;3483
2013;114;Fischenthal;2323
2013;28;Flaach;1351
2013;29;Flurlingen;1401
2013;57;Freienstein-Teufen;2287
2013;193;Fällanden;8139
2013;244;Geroldswil;4745
2013;58;Glattfelden;4631
2013;115;Gossau;9692
2013;194;Greifensee;5305
2013;116;Grüningen;3269
2013;220;Hagenbuch;1084
2013;4;Hausen a.A.;3416
2013;5;Hedingen;3585
2013;31;Henggart;2273
2013;152;Herrliberg;6159
2013;221;Hettlingen;3002
2013;117;Hinwil;10754
2013;132;Hirzel;2145
2013;173;Hittnau;3555
2013;59;Hochfelden;2008
2013;222;Hofstetten;481
2013;153;Hombrechtikon;8182
2013;133;Horgen;19553
2013;32;Humlikon;482
2013;60;Höri;2634
2013;61;Hüntwangen;1005
2013;134;Hütten;908
2013;87;Hüttikon;679
2013;174;Illnau-Effretikon;16249
2013;6;Kappel a.A.;955
2013;135;Kilchberg;7767
2013;33;Kleinandelfingen;2038
2013;62;Kloten;18354
2013;7;Knonau;1999
2013;175;Kyburg;407
2013;154;Küsnacht;13623
2013;136;Langnau a.A.;7308
2013;34;Laufen-Uhwiesen;1622
2013;176;Lindau;5306
2013;63;Lufingen;1872
2013;35;Marthalen;1978
2013;8;Maschwanden;664
2013;195;Maur;9700
2013;156;Meilen;13046
2013;9;Mettmenstetten;4420
2013;155;Männedorf;10473
2013;196;Mönchaltorf;3459
2013;88;Neerach;3021
2013;223;Neftenbach;5438
2013;89;Niederglatt;4642
2013;90;Niederhasli;8845
2013;91;Niederweningen;2787
2013;64;Nürensdorf;5311
2013;65;Oberembrach;1094
2013;245;Oberengstringen;6444
2013;92;Oberglatt;6460
2013;137;Oberrieden;4961
2013;36;Oberstammheim;1142
2013;93;Oberweningen;1748
2013;10;Obfelden;4861
2013;157;Oetwil a.S.;4577
2013;246;Oetwil a.d.L.;2293
2013;66;Opfikon;16338
2013;37;Ossingen;1358
2013;94;Otelfingen;2729
2013;11;Ottenbach;2475
2013;224;Pfungen;3531
2013;177;Pfäffikon;11089
2013;67;Rafz;4162
2013;95;Regensberg;485
2013;96;Regensdorf;17132
2013;38;Rheinau;1321
2013;138;Richterswil;12999
2013;225;Rickenbach;2515
2013;12;Rifferswil;959
2013;68;Rorbas;2583
2013;178;Russikon;4155
2013;97;Rümlang;7217
2013;139;Rüschlikon;5542
2013;118;Rüti;11928
2013;226;Schlatt;733
2013;98;Schleinikon;707
2013;247;Schlieren;17598
2013;197;Schwerzenbach;4953
2013;99;Schöfflisdorf;1362
2013;140;Schönenberg;1881
2013;119;Seegräben;1332
2013;227;Seuzach;7186
2013;100;Stadel;2026
2013;13;Stallikon;3321
2013;101;Steinmaur;3345
2013;179;Sternenberg;353
2013;158;Stäfa;13894
2013;39;Thalheim a.d.Th.;916
2013;141;Thalwil;17496
2013;41;Truttikon;451
2013;40;Trüllikon;989
2013;228;Turbenthal;4334
2013;159;Uetikon a.S.;5879
2013;248;Uitikon;3912
2013;249;Unterengstringen;3448
2013;42;Unterstammheim;877
2013;250;Urdorf;9505
2013;198;Uster;33048
2013;43;Volken;305
2013;199;Volketswil;18040
2013;120;Wald;9314
2013;69;Wallisellen;14787
2013;44;Waltalingen;691
2013;200;Wangen-Brüttisellen;7593
2013;70;Wasterkingen;572
2013;102;Weiach;1074
2013;251;Weiningen;4340
2013;180;Weisslingen;3208
2013;14;Wettswil a.A.;4633
2013;121;Wetzikon;23659
2013;229;Wiesendangen;4955
2013;71;Wil;1312
2013;181;Wila;1916
2013;182;Wildberg;985
2013;72;Winkel;4183
2013;230;Winterthur;105461
2013;142;Wädenswil;20933
2013;231;Zell;5637
2013;161;Zollikon;12319
2013;160;Zumikon;5164
2013;261;Zürich;383708
2014;21;Adlikon;609
2014;131;Adliswil;18381
2014;241;Aesch;1182
2014;1;Aeugst a.A.;1952
2014;2;Affoltern a.A.;11540
2014;211;Altikon;657
2014;30;Andelfingen;2154
2014;51;Bachenbülach;4064
2014;81;Bachs;598
2014;52;Bassersdorf;11371
2014;171;Bauma;4367
2014;22;Benken;824
2014;23;Berg a.I.;579
2014;242;Birmensdorf;6167
2014;3;Bonstetten;5279
2014;82;Boppelsen;1280
2014;213;Brütten;2031
2014;112;Bubikon;6979
2014;24;Buch a.I.;923
2014;83;Buchs;6152
2014;111;Bäretswil;4993
2014;53;Bülach;18848
2014;25;Dachsen;2001
2014;86;Dielsdorf;5909
2014;243;Dietikon;26178
2014;54;Dietlikon;7564
2014;216;Dinhard;1482
2014;26;Dorf;643
2014;214;Dägerlen;979
2014;84;Dällikon;3899
2014;85;Dänikon;1944
2014;215;Dättlikon;762
2014;191;Dübendorf;26264
2014;113;Dürnten;7374
2014;192;Egg;8330
2014;55;Eglisau;4961
2014;217;Elgg;4145
2014;218;Ellikon a.d.Th.;907
2014;219;Elsau;3464
2014;56;Embrach;9084
2014;151;Erlenbach;5443
2014;172;Fehraltorf;6309
2014;27;Feuerthalen;3497
2014;114;Fischenthal;2325
2014;28;Flaach;1361
2014;29;Flurlingen;1420
2014;57;Freienstein-Teufen;2305
2014;193;Fällanden;8182
2014;244;Geroldswil;4822
2014;58;Glattfelden;4824
2014;115;Gossau;9756
2014;194;Greifensee;5300
2014;116;Grüningen;3365
2014;220;Hagenbuch;1112
2014;4;Hausen a.A.;3469
2014;5;Hedingen;3645
2014;31;Henggart;2274
2014;152;Herrliberg;6240
2014;221;Hettlingen;3065
2014;117;Hinwil;10779
2014;132;Hirzel;2131
2014;173;Hittnau;3640
2014;59;Hochfelden;2018
2014;222;Hofstetten;482
2014;153;Hombrechtikon;8420
2014;133;Horgen;20005
2014;32;Humlikon;498
2014;60;Höri;2662
2014;61;Hüntwangen;1014
2014;134;Hütten;905
2014;87;Hüttikon;703
